study site,impact types,quadrat,trial,burrow size,latitude,longitude,beach width,distance to vegetation,day,month,year
Debidue Island,P,T1,1,44,33.331293,-79.161694,26.61,1.28,24,August,2016
Debidue Island,P,T1,1,67,33.331293,-79.161694,26.61,0.39,24,August,2016
Debidue Island,P,T1,1,52,33.331293,-79.161694,26.61,2.94,24,August,2016
Debidue Island,P,T1,1,60,33.331293,-79.161694,26.61,1.86,24,August,2016
Debidue Island,P,T1,1,22,33.331293,-79.161694,26.61,0.59,24,August,2016
Debidue Island,P,T1,1,33,33.331293,-79.161694,26.61,4.02,24,August,2016
Debidue Island,P,T1,1,46,33.331293,-79.161694,26.61,1.64,24,August,2016
Debidue Island,P,T1,1,18,33.331293,-79.161694,26.61,4.59,24,August,2016
Debidue Island,P,T1,1,54,33.331293,-79.161694,26.61,1.44,24,August,2016
Debidue Island,P,T1,2,48,33.331293,-79.161694,26.61,2.59,24,August,2016
Debidue Island,P,T1,2,52,33.331293,-79.161694,26.61,1.68,24,August,2016
Debidue Island,P,T1,2,39,33.331293,-79.161694,26.61,0.86,24,August,2016
Debidue Island,P,T1,2,20,33.331293,-79.161694,26.61,3.45,24,August,2016
Debidue Island,P,T1,2,41,33.331293,-79.161694,26.61,2.05,24,August,2016
Debidue Island,P,T1,2,55,33.331293,-79.161694,26.61,0.96,24,August,2016
Debidue Island,P,T1,2,43,33.331293,-79.161694,26.61,2.23,24,August,2016
Debidue Island,P,T1,2,34,33.331293,-79.161694,26.61,4.17,24,August,2016
Debidue Island,P,T1,2,51,33.331293,-79.161694,26.61,2.91,24,August,2016
Debidue Island,P,T1,2,56,33.331293,-79.161694,26.61,2.93,24,August,2016
Debidue Island,P,T1,2,50,33.331293,-79.161694,26.61,1.08,24,August,2016
Debidue Island,P,T1,2,48,33.331293,-79.161694,26.61,3.14,24,August,2016
Debidue Island,P,T1,2,21,33.331293,-79.161694,26.61,1.17,24,August,2016
Debidue Island,P,T1,2,44,33.331293,-79.161694,26.61,4.56,24,August,2016
Debidue Island,P,T1,2,53,33.331293,-79.161694,26.61,1.45,24,August,2016
Debidue Island,P,T1,2,57,33.331293,-79.161694,26.61,0.57,24,August,2016
Debidue Island,P,T1,2,60,33.331293,-79.161694,26.61,2.96,24,August,2016
Debidue Island,P,T1,2,17,33.331293,-79.161694,26.61,4.26,24,August,2016
Debidue Island,P,T1,2,66,33.331293,-79.161694,26.61,1.37,24,August,2016
Debidue Island,P,T1,2,60,33.331293,-79.161694,26.61,0.49,24,August,2016
Debidue Island,P,T1,2,49,33.331293,-79.161694,26.61,3.35,24,August,2016
Debidue Island,P,T1,2,54,33.331293,-79.161694,26.61,2.96,24,August,2016
Debidue Island,P,T1,2,58,33.331293,-79.161694,26.61,1.94,24,August,2016
Debidue Island,P,T1,2,52,33.331293,-79.161694,26.61,0.87,24,August,2016
Debidue Island,P,T1,2,18,33.331293,-79.161694,26.61,1.48,24,August,2016
Debidue Island,P,T1,2,61,33.331293,-79.161694,26.61,3.37,24,August,2016
Debidue Island,P,T1,2,69,33.331293,-79.161694,26.61,0.84,24,August,2016
Debidue Island,P,T1,2,63,33.331293,-79.161694,26.61,0.51,24,August,2016
Debidue Island,P,T1,2,21,33.331293,-79.161694,26.61,2.86,24,August,2016
Debidue Island,P,T1,2,49,33.331293,-79.161694,26.61,1.42,24,August,2016
Debidue Island,P,T1,2,46,33.331293,-79.161694,26.61,3.61,24,August,2016
Debidue Island,P,T1,2,58,33.331293,-79.161694,26.61,1.83,24,August,2016
Debidue Island,P,T1,2,18,33.331293,-79.161694,26.61,3.95,24,August,2016
Debidue Island,P,T1,2,41,33.331293,-79.161694,26.61,4.09,24,August,2016
Debidue Island,P,T1,2,48,33.331293,-79.161694,26.61,3.25,24,August,2016
Debidue Island,P,T1,2,30,33.331293,-79.161694,26.61,3.94,24,August,2016
Debidue Island,P,T1,2,26,33.331293,-79.161694,26.61,4.25,24,August,2016
Debidue Island,P,T1,2,70,33.331293,-79.161694,26.61,0.32,24,August,2016
Debidue Island,P,T1,2,66,33.331293,-79.161694,26.61,1.45,24,August,2016
Debidue Island,P,T1,2,54,33.331293,-79.161694,26.61,0.84,24,August,2016
Debidue Island,P,T1,2,49,33.331293,-79.161694,26.61,0.61,24,August,2016
Debidue Island,P,T1,2,42,33.331293,-79.161694,26.61,1.95,24,August,2016
Debidue Island,P,T1,2,51,33.331293,-79.161694,26.61,2.03,24,August,2016
Debidue Island,P,T1,3,42,33.331293,-79.161694,26.61,1.28,24,August,2016
Debidue Island,P,T1,3,55,33.331293,-79.161694,26.61,0.73,24,August,2016
Debidue Island,P,T1,3,51,33.331293,-79.161694,26.61,1.52,24,August,2016
Debidue Island,P,T1,3,48,33.331293,-79.161694,26.61,2.31,24,August,2016
Debidue Island,P,T1,3,64,33.331293,-79.161694,26.61,1.07,24,August,2016
Debidue Island,P,T1,3,48,33.331293,-79.161694,26.61,2.53,24,August,2016
Debidue Island,P,T1,3,52,33.331293,-79.161694,26.61,1.62,24,August,2016
Debidue Island,P,T1,3,20,33.331293,-79.161694,26.61,3.87,24,August,2016
Debidue Island,P,T1,3,55,33.331293,-79.161694,26.61,1.41,24,August,2016
Debidue Island,P,T1,3,53,33.331293,-79.161694,26.61,0.73,24,August,2016
Debidue Island,P,T1,3,26,33.331293,-79.161694,26.61,3.29,24,August,2016
Debidue Island,P,T1,3,34,33.331293,-79.161694,26.61,1.67,24,August,2016
Debidue Island,P,T1,3,16,33.331293,-79.161694,26.61,4.77,24,August,2016
Debidue Island,P,T1,3,30,33.331293,-79.161694,26.61,2.2,24,August,2016
Debidue Island,P,T1,3,44,33.331293,-79.161694,26.61,3.07,24,August,2016
Debidue Island,P,T1,3,61,33.331293,-79.161694,26.61,0.92,24,August,2016
Debidue Island,P,T1,3,48,33.331293,-79.161694,26.61,1.63,24,August,2016
Debidue Island,P,T1,3,52,33.331293,-79.161694,26.61,0.88,24,August,2016
Debidue Island,P,T1,3,59,33.331293,-79.161694,26.61,1.76,24,August,2016
Debidue Island,P,T1,3,55,33.331293,-79.161694,26.61,0.56,24,August,2016
Debidue Island,P,T1,3,54,33.331293,-79.161694,26.61,0.28,24,August,2016
Debidue Island,P,T1,3,53,33.331293,-79.161694,26.61,2.35,24,August,2016
Debidue Island,P,T1,3,50,33.331293,-79.161694,26.61,1.58,24,August,2016
Debidue Island,P,T1,3,18,33.331293,-79.161694,26.61,3.21,24,August,2016
Debidue Island,P,T1,3,48,33.331293,-79.161694,26.61,2.91,24,August,2016
Debidue Island,P,T1,3,46,33.331293,-79.161694,26.61,2.06,24,August,2016
Debidue Island,P,T1,3,28,33.331293,-79.161694,26.61,1.99,24,August,2016
Debidue Island,P,T1,3,33,33.331293,-79.161694,26.61,4.71,24,August,2016
Debidue Island,P,T1,3,46,33.331293,-79.161694,26.61,4.38,24,August,2016
Debidue Island,P,T1,3,55,33.331293,-79.161694,26.61,2.59,24,August,2016
Debidue Island,P,T1,3,51,33.331293,-79.161694,26.61,0.97,24,August,2016
Debidue Island,P,T1,3,47,33.331293,-79.161694,26.61,4.13,24,August,2016
Debidue Island,P,T1,3,59,33.331293,-79.161694,26.61,3.38,24,August,2016
Debidue Island,P,T1,3,16,33.331293,-79.161694,26.61,4.91,24,August,2016
Debidue Island,P,T1,3,68,33.331293,-79.161694,26.61,1.69,24,August,2016
Debidue Island,P,T1,3,58,33.331293,-79.161694,26.61,0.83,24,August,2016
Debidue Island,P,T1,3,52,33.331293,-79.161694,26.61,1.67,24,August,2016
Debidue Island,P,T1,3,23,33.331293,-79.161694,26.61,2.34,24,August,2016
Debidue Island,P,T1,3,53,33.331293,-79.161694,26.61,1.72,24,August,2016
Debidue Island,P,T2,1,39,33.331293,-79.161694,26.61,9.63,24,August,2016
Debidue Island,P,T2,1,52,33.331293,-79.161694,26.61,11.28,24,August,2016
Debidue Island,P,T2,1,47,33.331293,-79.161694,26.61,10.4,24,August,2016
Debidue Island,P,T2,1,44,33.331293,-79.161694,26.61,8.04,24,August,2016
Debidue Island,P,T2,1,35,33.331293,-79.161694,26.61,9.02,24,August,2016
Debidue Island,P,T2,1,47,33.331293,-79.161694,26.61,9.85,24,August,2016
Debidue Island,P,T2,1,39,33.331293,-79.161694,26.61,9.36,24,August,2016
Debidue Island,P,T2,1,34,33.331293,-79.161694,26.61,10.85,24,August,2016
Debidue Island,P,T2,1,25,33.331293,-79.161694,26.61,13.25,24,August,2016
Debidue Island,P,T2,1,38,33.331293,-79.161694,26.61,9.62,24,August,2016
Debidue Island,P,T2,1,56,33.331293,-79.161694,26.61,11.85,24,August,2016
Debidue Island,P,T2,1,51,33.331293,-79.161694,26.61,10.34,24,August,2016
Debidue Island,P,T2,1,54,33.331293,-79.161694,26.61,9.2,24,August,2016
Debidue Island,P,T2,1,46,33.331293,-79.161694,26.61,13.7,24,August,2016
Debidue Island,P,T2,1,49,33.331293,-79.161694,26.61,12.4,24,August,2016
Debidue Island,P,T2,1,62,33.331293,-79.161694,26.61,12.08,24,August,2016
Debidue Island,P,T2,1,37,33.331293,-79.161694,26.61,12.96,24,August,2016
Debidue Island,P,T2,1,50,33.331293,-79.161694,26.61,10.25,24,August,2016
Debidue Island,P,T2,1,49,33.331293,-79.161694,26.61,9.85,24,August,2016
Debidue Island,P,T2,1,42,33.331293,-79.161694,26.61,13.21,24,August,2016
Debidue Island,P,T2,1,16,33.331293,-79.161694,26.61,11.41,24,August,2016
Debidue Island,P,T2,1,56,33.331293,-79.161694,26.61,10.37,24,August,2016
Debidue Island,P,T2,1,63,33.331293,-79.161694,26.61,9.65,24,August,2016
Debidue Island,P,T2,1,54,33.331293,-79.161694,26.61,13.84,24,August,2016
Debidue Island,P,T2,1,59,33.331293,-79.161694,26.61,11.26,24,August,2016
Debidue Island,P,T2,1,43,33.331293,-79.161694,26.61,11.92,24,August,2016
Debidue Island,P,T2,1,57,33.331293,-79.161694,26.61,10.38,24,August,2016
Debidue Island,P,T2,1,50,33.331293,-79.161694,26.61,9.54,24,August,2016
Debidue Island,P,T2,1,58,33.331293,-79.161694,26.61,10.27,24,August,2016
Debidue Island,P,T2,1,41,33.331293,-79.161694,26.61,9.63,24,August,2016
Debidue Island,P,T2,1,54,33.331293,-79.161694,26.61,9.02,24,August,2016
Debidue Island,P,T2,1,36,33.331293,-79.161694,26.61,11.84,24,August,2016
Debidue Island,P,T2,1,59,33.331293,-79.161694,26.61,11.02,24,August,2016
Debidue Island,P,T2,1,48,33.331293,-79.161694,26.61,11.34,24,August,2016
Debidue Island,P,T2,1,56,33.331293,-79.161694,26.61,10.81,24,August,2016
Debidue Island,P,T2,1,41,33.331293,-79.161694,26.61,12.64,24,August,2016
Debidue Island,P,T2,1,18,33.331293,-79.161694,26.61,11.79,24,August,2016
Debidue Island,P,T2,1,55,33.331293,-79.161694,26.61,12.65,24,August,2016
Debidue Island,P,T2,1,62,33.331293,-79.161694,26.61,9.48,24,August,2016
Debidue Island,P,T2,1,53,33.331293,-79.161694,26.61,12.06,24,August,2016
Debidue Island,P,T2,1,41,33.331293,-79.161694,26.61,12.74,24,August,2016
Debidue Island,P,T2,1,46,33.331293,-79.161694,26.61,12.31,24,August,2016
Debidue Island,P,T2,1,33,33.331293,-79.161694,26.61,12.85,24,August,2016
Debidue Island,P,T2,1,49,33.331293,-79.161694,26.61,10.25,24,August,2016
Debidue Island,P,T2,1,42,33.331293,-79.161694,26.61,10.96,24,August,2016
Debidue Island,P,T2,1,34,33.331293,-79.161694,26.61,11.34,24,August,2016
Debidue Island,P,T2,1,17,33.331293,-79.161694,26.61,12.83,24,August,2016
Debidue Island,P,T2,1,51,33.331293,-79.161694,26.61,10.64,24,August,2016
Debidue Island,P,T2,1,36,33.331293,-79.161694,26.61,9.43,24,August,2016
Debidue Island,P,T2,1,41,33.331293,-79.161694,26.61,13.65,24,August,2016
Debidue Island,P,T2,1,26,33.331293,-79.161694,26.61,13.82,24,August,2016
Debidue Island,P,T2,1,37,33.331293,-79.161694,26.61,11.09,24,August,2016
Debidue Island,P,T2,1,42,33.331293,-79.161694,26.61,9.23,24,August,2016
Debidue Island,P,T2,1,30,33.331293,-79.161694,26.61,11.52,24,August,2016
Debidue Island,P,T2,1,50,33.331293,-79.161694,26.61,13.84,24,August,2016
Debidue Island,P,T2,2,35,33.331293,-79.161694,26.61,11.41,24,August,2016
Debidue Island,P,T2,2,49,33.331293,-79.161694,26.61,11.34,24,August,2016
Debidue Island,P,T2,2,36,33.331293,-79.161694,26.61,9.28,24,August,2016
Debidue Island,P,T2,2,53,33.331293,-79.161694,26.61,9.34,24,August,2016
Debidue Island,P,T2,2,40,33.331293,-79.161694,26.61,9.46,24,August,2016
Debidue Island,P,T2,2,48,33.331293,-79.161694,26.61,9.32,24,August,2016
Debidue Island,P,T2,2,50,33.331293,-79.161694,26.61,11.25,24,August,2016
Debidue Island,P,T2,2,18,33.331293,-79.161694,26.61,10.84,24,August,2016
Debidue Island,P,T2,2,64,33.331293,-79.161694,26.61,11.34,24,August,2016
Debidue Island,P,T2,2,67,33.331293,-79.161694,26.61,11.82,24,August,2016
Debidue Island,P,T2,2,41,33.331293,-79.161694,26.61,11.39,24,August,2016
Debidue Island,P,T2,2,23,33.331293,-79.161694,26.61,11.09,24,August,2016
Debidue Island,P,T2,2,46,33.331293,-79.161694,26.61,11.37,24,August,2016
Debidue Island,P,T2,2,35,33.331293,-79.161694,26.61,11.64,24,August,2016
Debidue Island,P,T2,2,48,33.331293,-79.161694,26.61,11.39,24,August,2016
Debidue Island,P,T2,2,55,33.331293,-79.161694,26.61,11.61,24,August,2016
Debidue Island,P,T2,2,40,33.331293,-79.161694,26.61,11.52,24,August,2016
Debidue Island,P,T2,2,27,33.331293,-79.161694,26.61,11.73,24,August,2016
Debidue Island,P,T2,2,36,33.331293,-79.161694,26.61,11.46,24,August,2016
Debidue Island,P,T2,2,47,33.331293,-79.161694,26.61,13.28,24,August,2016
Debidue Island,P,T2,2,29,33.331293,-79.161694,26.61,13.24,24,August,2016
Debidue Island,P,T2,2,56,33.331293,-79.161694,26.61,13.64,24,August,2016
Debidue Island,P,T2,2,48,33.331293,-79.161694,26.61,13.48,24,August,2016
Debidue Island,P,T2,2,40,33.331293,-79.161694,26.61,9.44,24,August,2016
Debidue Island,P,T2,2,45,33.331293,-79.161694,26.61,9.61,24,August,2016
Debidue Island,P,T2,2,49,33.331293,-79.161694,26.61,9.73,24,August,2016
Debidue Island,P,T2,2,37,33.331293,-79.161694,26.61,9.05,24,August,2016
Debidue Island,P,T2,2,42,33.331293,-79.161694,26.61,9.37,24,August,2016
Debidue Island,P,T2,2,47,33.331293,-79.161694,26.61,10.35,24,August,2016
Debidue Island,P,T2,2,61,33.331293,-79.161694,26.61,10.47,24,August,2016
Debidue Island,P,T2,2,34,33.331293,-79.161694,26.61,10.31,24,August,2016
Debidue Island,P,T2,2,39,33.331293,-79.161694,26.61,10.03,24,August,2016
Debidue Island,P,T2,2,47,33.331293,-79.161694,26.61,10.83,24,August,2016
Debidue Island,P,T2,2,46,33.331293,-79.161694,26.61,10.67,24,August,2016
Debidue Island,P,T2,2,42,33.331293,-79.161694,26.61,13.69,24,August,2016
Debidue Island,P,T2,2,19,33.331293,-79.161694,26.61,13.86,24,August,2016
Debidue Island,P,T2,2,36,33.331293,-79.161694,26.61,11.11,24,August,2016
Debidue Island,P,T2,2,52,33.331293,-79.161694,26.61,12.64,24,August,2016
Debidue Island,P,T2,2,34,33.331293,-79.161694,26.61,12.37,24,August,2016
Debidue Island,P,T2,2,52,33.331293,-79.161694,26.61,13.47,24,August,2016
Debidue Island,P,T2,2,41,33.331293,-79.161694,26.61,13.14,24,August,2016
Debidue Island,P,T2,2,39,33.331293,-79.161694,26.61,13.09,24,August,2016
Debidue Island,P,T2,2,47,33.331293,-79.161694,26.61,13.62,24,August,2016
Debidue Island,P,T2,2,50,33.331293,-79.161694,26.61,13.87,24,August,2016
Debidue Island,P,T2,2,42,33.331293,-79.161694,26.61,13.64,24,August,2016
Debidue Island,P,T2,2,38,33.331293,-79.161694,26.61,12.84,24,August,2016
Debidue Island,P,T2,2,29,33.331293,-79.161694,26.61,9.62,24,August,2016
Debidue Island,P,T2,2,37,33.331293,-79.161694,26.61,9.13,24,August,2016
Debidue Island,P,T2,3,46,33.331293,-79.161694,26.61,10.24,24,August,2016
Debidue Island,P,T2,3,57,33.331293,-79.161694,26.61,10.31,24,August,2016
Debidue Island,P,T2,3,41,33.331293,-79.161694,26.61,10.52,24,August,2016
Debidue Island,P,T2,3,32,33.331293,-79.161694,26.61,11.37,24,August,2016
Debidue Island,P,T2,3,55,33.331293,-79.161694,26.61,11.93,24,August,2016
Debidue Island,P,T2,3,48,33.331293,-79.161694,26.61,12.54,24,August,2016
Debidue Island,P,T2,3,26,33.331293,-79.161694,26.61,12.98,24,August,2016
Debidue Island,P,T2,3,31,33.331293,-79.161694,26.61,12.31,24,August,2016
Debidue Island,P,T2,3,47,33.331293,-79.161694,26.61,9.31,24,August,2016
Debidue Island,P,T2,3,23,33.331293,-79.161694,26.61,9.28,24,August,2016
Debidue Island,P,T2,3,50,33.331293,-79.161694,26.61,13.61,24,August,2016
Debidue Island,P,T2,3,41,33.331293,-79.161694,26.61,11.29,24,August,2016
Debidue Island,P,T2,3,46,33.331293,-79.161694,26.61,11.01,24,August,2016
Debidue Island,P,T2,3,37,33.331293,-79.161694,26.61,11.19,24,August,2016
Debidue Island,P,T2,3,32,33.331293,-79.161694,26.61,11.34,24,August,2016
Debidue Island,P,T2,3,26,33.331293,-79.161694,26.61,13.28,24,August,2016
Debidue Island,P,T2,3,18,33.331293,-79.161694,26.61,13.21,24,August,2016
Debidue Island,P,T2,3,53,33.331293,-79.161694,26.61,13.97,24,August,2016
Debidue Island,P,T2,3,46,33.331293,-79.161694,26.61,13.64,24,August,2016
Debidue Island,P,T2,3,41,33.331293,-79.161694,26.61,13.27,24,August,2016
Debidue Island,P,T2,3,35,33.331293,-79.161694,26.61,13.17,24,August,2016
Debidue Island,P,T2,3,42,33.331293,-79.161694,26.61,13.19,24,August,2016
Debidue Island,P,T2,3,53,33.331293,-79.161694,26.61,13.94,24,August,2016
Debidue Island,P,T2,3,42,33.331293,-79.161694,26.61,11.28,24,August,2016
Debidue Island,P,T2,3,39,33.331293,-79.161694,26.61,11.34,24,August,2016
Debidue Island,P,T2,3,52,33.331293,-79.161694,26.61,11.15,24,August,2016
Debidue Island,P,T2,3,41,33.331293,-79.161694,26.61,11.06,24,August,2016
Debidue Island,P,T2,3,32,33.331293,-79.161694,26.61,10.34,24,August,2016
Debidue Island,P,T2,3,38,33.331293,-79.161694,26.61,10.98,24,August,2016
Debidue Island,P,T2,3,26,33.331293,-79.161694,26.61,10.82,24,August,2016
Debidue Island,P,T2,3,48,33.331293,-79.161694,26.61,9.34,24,August,2016
Debidue Island,P,T2,3,45,33.331293,-79.161694,26.61,9.78,24,August,2016
Debidue Island,P,T2,3,36,33.331293,-79.161694,26.61,9.13,24,August,2016
Debidue Island,P,T2,3,17,33.331293,-79.161694,26.61,9.56,24,August,2016
Debidue Island,P,T2,3,48,33.331293,-79.161694,26.61,10.79,24,August,2016
Debidue Island,P,T2,3,52,33.331293,-79.161694,26.61,10.39,24,August,2016
Debidue Island,P,T2,3,63,33.331293,-79.161694,26.61,13.42,24,August,2016
Debidue Island,P,T2,3,54,33.331293,-79.161694,26.61,13.72,24,August,2016
Debidue Island,P,T2,3,28,33.331293,-79.161694,26.61,12.78,24,August,2016
Debidue Island,P,T2,3,46,33.331293,-79.161694,26.61,12.06,24,August,2016
Debidue Island,P,T2,3,31,33.331293,-79.161694,26.61,12.71,24,August,2016
Debidue Island,P,T2,3,40,33.331293,-79.161694,26.61,12.16,24,August,2016
Debidue Island,P,T2,3,35,33.331293,-79.161694,26.61,12.29,24,August,2016
Debidue Island,P,T2,3,18,33.331293,-79.161694,26.61,12.78,24,August,2016
Debidue Island,P,T2,3,47,33.331293,-79.161694,26.61,12.13,24,August,2016
Debidue Island,P,T2,3,43,33.331293,-79.161694,26.61,13.48,24,August,2016
Debidue Island,P,T2,3,30,33.331293,-79.161694,26.61,13.73,24,August,2016
Debidue Island,P,T2,3,51,33.331293,-79.161694,26.61,11.42,24,August,2016
Debidue Island,P,T2,3,26,33.331293,-79.161694,26.61,11.39,24,August,2016
Debidue Island,P,T2,3,28,33.331293,-79.161694,26.61,10.58,24,August,2016
Debidue Island,P,T3,1,52,33.331293,-79.161694,26.61,16.48,24,August,2016
Debidue Island,P,T3,1,44,33.331293,-79.161694,26.61,18.23,24,August,2016
Debidue Island,P,T3,1,32,33.331293,-79.161694,26.61,19.12,24,August,2016
Debidue Island,P,T3,1,20,33.331293,-79.161694,26.61,19.36,24,August,2016
Debidue Island,P,T3,1,47,33.331293,-79.161694,26.61,15.04,24,August,2016
Debidue Island,P,T3,1,41,33.331293,-79.161694,26.61,19.64,24,August,2016
Debidue Island,P,T3,1,33,33.331293,-79.161694,26.61,19.42,24,August,2016
Debidue Island,P,T3,1,26,33.331293,-79.161694,26.61,19.79,24,August,2016
Debidue Island,P,T3,1,32,33.331293,-79.161694,26.61,18.86,24,August,2016
Debidue Island,P,T3,1,55,33.331293,-79.161694,26.61,15.21,24,August,2016
Debidue Island,P,T3,1,48,33.331293,-79.161694,26.61,16.52,24,August,2016
Debidue Island,P,T3,1,27,33.331293,-79.161694,26.61,19.42,24,August,2016
Debidue Island,P,T3,1,46,33.331293,-79.161694,26.61,17.76,24,August,2016
Debidue Island,P,T3,1,33,33.331293,-79.161694,26.61,17.21,24,August,2016
Debidue Island,P,T3,1,36,33.331293,-79.161694,26.61,17.89,24,August,2016
Debidue Island,P,T3,1,48,33.331293,-79.161694,26.61,17.21,24,August,2016
Debidue Island,P,T3,1,57,33.331293,-79.161694,26.61,18.12,24,August,2016
Debidue Island,P,T3,1,40,33.331293,-79.161694,26.61,16.32,24,August,2016
Debidue Island,P,T3,1,34,33.331293,-79.161694,26.61,15.25,24,August,2016
Debidue Island,P,T3,1,17,33.331293,-79.161694,26.61,15.42,24,August,2016
Debidue Island,P,T3,1,39,33.331293,-79.161694,26.61,15.97,24,August,2016
Debidue Island,P,T3,1,38,33.331293,-79.161694,26.61,19.23,24,August,2016
Debidue Island,P,T3,1,50,33.331293,-79.161694,26.61,15.41,24,August,2016
Debidue Island,P,T3,1,49,33.331293,-79.161694,26.61,16.52,24,August,2016
Debidue Island,P,T3,1,42,33.331293,-79.161694,26.61,18.41,24,August,2016
Debidue Island,P,T3,1,47,33.331293,-79.161694,26.61,17.46,24,August,2016
Debidue Island,P,T3,1,17,33.331293,-79.161694,26.61,19.26,24,August,2016
Debidue Island,P,T3,1,52,33.331293,-79.161694,26.61,15.37,24,August,2016
Debidue Island,P,T3,1,37,33.331293,-79.161694,26.61,18.24,24,August,2016
Debidue Island,P,T3,1,49,33.331293,-79.161694,26.61,17.78,24,August,2016
Debidue Island,P,T3,1,53,33.331293,-79.161694,26.61,15.32,24,August,2016
Debidue Island,P,T3,1,51,33.331293,-79.161694,26.61,16.87,24,August,2016
Debidue Island,P,T3,1,18,33.331293,-79.161694,26.61,19.23,24,August,2016
Debidue Island,P,T3,1,41,33.331293,-79.161694,26.61,18.25,24,August,2016
Debidue Island,P,T3,1,43,33.331293,-79.161694,26.61,19.41,24,August,2016
Debidue Island,P,T3,1,42,33.331293,-79.161694,26.61,16.21,24,August,2016
Debidue Island,P,T3,1,31,33.331293,-79.161694,26.61,18.35,24,August,2016
Debidue Island,P,T3,2,48,33.331293,-79.161694,26.61,15.27,24,August,2016
Debidue Island,P,T3,2,35,33.331293,-79.161694,26.61,16.61,24,August,2016
Debidue Island,P,T3,2,46,33.331293,-79.161694,26.61,18.98,24,August,2016
Debidue Island,P,T3,2,16,33.331293,-79.161694,26.61,19.76,24,August,2016
Debidue Island,P,T3,2,30,33.331293,-79.161694,26.61,18.88,24,August,2016
Debidue Island,P,T3,2,52,33.331293,-79.161694,26.61,16.08,24,August,2016
Debidue Island,P,T3,2,41,33.331293,-79.161694,26.61,18.41,24,August,2016
Debidue Island,P,T3,2,28,33.331293,-79.161694,26.61,15.36,24,August,2016
Debidue Island,P,T3,2,43,33.331293,-79.161694,26.61,16.61,24,August,2016
Debidue Island,P,T3,2,36,33.331293,-79.161694,26.61,18.52,24,August,2016
Debidue Island,P,T3,2,19,33.331293,-79.161694,26.61,19.11,24,August,2016
Debidue Island,P,T3,2,43,33.331293,-79.161694,26.61,17.31,24,August,2016
Debidue Island,P,T3,2,39,33.331293,-79.161694,26.61,18.83,24,August,2016
